#                 2
WXT        19.59       1.00   S
WXT        11.76       1.00   P
YLT        10.24       1.00   S
YLT         6.41       1.00   P
JMG        15.72       1.00   S
JMG         9.33       1.00   P
PWU        19.84       1.00   S
PWU        11.76       1.00   P
LD1        14.37       1.00   S
LD1         8.55       1.00   P
LD6        29.18       1.00   P
LD6        49.74       1.00   S
LUYA       20.26       1.00   P
LUYA       34.29       1.00   S
MIAX       45.70       1.00   S
MIAX       26.60       1.00   P
#                 4
WXT        20.24       1.00   S
WXT        12.59       1.00   P
YLT         7.46       1.00   P
YLT        11.67       1.00   S
JMG        14.68       1.00   S
JMG         9.12       1.00   P
PWU        12.64       1.00   P
PWU        20.31       1.00   S
LD1        14.37       1.00   S
LD1         9.04       1.00   P
LD2        27.34       1.00   S
LD2        16.45       1.00   P
LUYA       34.52       1.00   S
LUYA       21.32       1.00   P
LD6        48.67       1.00   S
LD6        29.47       1.00   P
MIAX       44.62       1.00   S
MIAX       26.86       1.00   P
#                 5
WXT        14.25       1.00   P
WXT        22.85       1.00   S
YLT        10.94       1.00   P
YLT        17.37       1.00   S
JMG         9.90       1.00   P
JMG        16.33       1.00   S
PWU         9.42       1.00   P
PWU        14.91       1.00   S
LD1        14.91       1.00   P
LD1        24.36       1.00   S
LUYA       44.59       1.00   S
LUYA       27.01       1.00   P
CXT        49.37       1.00   S
CXT        30.19       1.00   P
WDT        33.97       1.00   S
WDT        20.71       1.00   P
ZHQ        30.90       1.00   P
ZHQ        52.21       1.00   S
#                 7
SFT        26.27       1.00   S
SFT        16.00       1.00   P
SJB        29.20       1.00   S
SJB        18.01       1.00   P
WXT        14.53       1.00   P
WXT        23.41       1.00   S
YLT        18.24       1.00   S
YLT        11.60       1.00   P
HSH        33.53       1.00   P
HSH        54.37       1.00   S
JMG        18.01       1.00   S
JMG        11.14       1.00   P
PWU        13.53       1.00   S
PWU         8.59       1.00   P
QCH        10.06       1.00   S
QCH         6.58       1.00   P
SPA        23.49       1.00   P
SPA        39.39       1.00   S
LD1        15.90       1.00   P
LD1        25.96       1.00   S
LUYA       28.47       1.00   P
LUYA       48.43       1.00   S
CXT        30.68       1.00   P
CXT        50.79       1.00   S
DBT        43.83       1.00   P
DBT        74.22       1.00   S
LTT        51.78       1.00   P
MXT        73.08       1.00   S
MXT        42.12       1.00   P
TSS        38.86       1.00   P
TSS        69.96       1.00   S
WDT        34.74       1.00   S
WDT        21.17       1.00   P
WSH        76.21       1.00   S
WSH        44.65       1.00   P
ZHQ        30.40       1.00   P
#                 8
HJT         6.26       1.00   S
HYS        15.19       1.00   P
HYS        25.57       1.00   S
JTA        49.39       1.00   S
JTA        28.11       1.00   P
SGS        24.37       1.00   P
SGS        41.58       1.00   S
SGT         7.98       1.00   P
SGT        13.24       1.00   S
ZHY        34.76       1.00   P
ZHY        59.90       1.00   S
MEY        13.46       1.00   P
MEY        22.95       1.00   S
#                20
WXT        12.31       1.00   P
WXT        20.68       1.00   S
YLT         7.00       1.00   P
YLT        11.46       1.00   S
JMG        14.50       1.00   S
JMG         8.37       1.00   P
PWU        12.48       1.00   P
PWU        20.86       1.00   S
